ome;frfe
115,7;1,2908
115,8;1,28758
115,9;1,2837
116;1,27956
116,1;1,2757
116,2;1,2718
116,3;1,26721
116,4;1,26198
116,5;1,25643
116,6;1,25089
116,7;1,24562
116,8;1,23955
116,9;1,23433
117;1,22958
117,1;1,22405
117,2;1,21929
117,3;1,21538
117,4;1,21227
117,5;1,2099
117,6;1,20755
117,7;1,20459
117,8;1,20223
117,9;1,1991
118;1,19625
118,1;1,19392
118,2;1,19143
118,3;1,18857
118,4;1,18541
118,5;1,18257
118,6;1,1795
118,7;1,17611
118,8;1,17312
118,9;1,17073
119;1,16736
119,1;1,16424
119,2;1,16241
119,3;1,15922
119,4;1,15599
119,5;1,15295
119,6;1,14971
119,7;1,14635
119,8;1,14268
119,9;1,1398
120;1,13681
120,1;1,13258
120,2;1,12875
120,3;1,125
120,4;1,1215
120,5;1,11803
120,6;1,11511
120,7;1,11218
120,8;1,10902
120,9;1,10586
121;1,10283
121,1;1,10022
121,2;1,09797
121,3;1,0955
121,4;1,0933
121,5;1,09173
121,6;1,09045
121,7;1,08881
121,8;1,08697
121,9;1,0849
122;1,08304
122,1;1,08112
122,2;1,07955
122,3;1,07887
122,4;1,07708
122,5;1,07537
122,6;1,0746
122,7;1,07265
122,8;1,0715
122,9;1,07057
123;1,06922
123,1;1,06878
123,2;1,06791
123,3;1,06663
123,4;1,06582
123,5;1,06472
123,6;1,06372
123,7;1,06232
123,8;1,06107
123,9;1,06004
124;1,05911
124,1;1,05743
124,2;1,05552
124,3;1,05488
124,4;1,05377
124,5;1,05254
124,6;1,05156
124,7;1,04984
124,8;1,04929
124,9;1,04862
125;1,04723
125,1;1,04665
125,2;1,04551
125,3;1,04483
125,4;1,04465
125,5;1,04372
125,6;1,04313
125,7;1,04269
125,8;1,04249
125,9;1,04212
126;1,04184
126,1;1,04115
126,2;1,0408
126,3;1,0404
126,4;1,04007
126,5;1,03996
126,6;1,03947
126,7;1,03938
126,8;1,03942
126,9;1,03964
127;1,03955
127,1;1,04015
127,2;1,04025
127,3;1,0407
127,4;1,04125
127,5;1,04184
127,6;1,04275
127,7;1,04382
127,8;1,04389
127,9;1,04409
128;1,04443
128,1;1,04471
128,2;1,04475
128,3;1,04451
128,4;1,04479
128,5;1,04449
128,6;1,04421
128,7;1,04395
128,8;1,04423
128,9;1,04446
129;1,04497
129,1;1,04652
129,2;1,04842
129,3;1,05056
129,4;1,05237
129,5;1,05366
129,6;1,05431
129,7;1,05506
129,8;1,05557
129,9;1,05625
130;1,05664
130,1;1,0565
130,2;1,0566
130,3;1,05651
130,4;1,05604
130,5;1,0554
130,6;1,05503
130,7;1,05454
130,8;1,05406
130,9;1,05361
131;1,05376
131,1;1,05358
131,2;1,05317
131,3;1,05342
131,4;1,05374
131,5;1,05414
131,6;1,05471
131,7;1,0553
131,8;1,05582
131,9;1,05659
132;1,05717
132,1;1,0584
132,2;1,05953
132,3;1,06043
132,4;1,06141
132,5;1,06237
132,6;1,06315
132,7;1,06422
132,8;1,06521
132,9;1,06605
133;1,06723
133,1;1,06839
133,2;1,06932
133,3;1,06924
133,4;1,06914
133,5;1,06873
133,6;1,06848
133,7;1,06903
133,8;1,07044
133,9;1,07222
134;1,07439
134,1;1,0771
134,2;1,07948
134,3;1,08129
134,4;1,08286
134,5;1,08444
134,6;1,08609
134,7;1,08798
134,8;1,08964
134,9;1,09168
135;1,09365
135,1;1,09604
135,2;1,09838
135,3;1,10081
135,4;1,10297
135,5;1,10539
135,6;1,10761
135,7;1,10953
135,8;1,11103
135,9;1,11265
136;1,11412
136,1;1,11625
136,2;1,11793
136,3;1,11894
136,4;1,12008
136,5;1,12118
136,6;1,12185
136,7;1,12339
136,8;1,12488
136,9;1,12617
137;1,1278
137,1;1,12922
137,2;1,13106
137,3;1,13294
137,4;1,13511
137,5;1,13779
137,6;1,13999
137,7;1,14291
137,8;1,14644
137,9;1,15034
138;1,15384
138,1;1,15679
138,2;1,15923
138,3;1,16148
138,4;1,16387
138,5;1,16671
138,6;1,17026
138,7;1,17284
138,8;1,17524
138,9;1,17805
139;1,18106
139,1;1,18361
139,2;1,18619
139,3;1,18867
139,4;1,19173
139,5;1,19493
139,6;1,19782
139,7;1,20112
139,8;1,20451
139,9;1,2082
140;1,21181
140,1;1,2156
140,2;1,21929
140,3;1,22299
140,4;1,22628
140,5;1,22947
140,6;1,23314
140,7;1,23675
140,8;1,2396
140,9;1,24244
141;1,24577
141,1;1,24911
141,2;1,25241
141,3;1,25611
141,4;1,25989
141,5;1,26325
141,6;1,26697
141,7;1,27098
141,8;1,2752
141,9;1,27951
142;1,28434
142,1;1,28924
142,2;1,29393
142,3;1,29848
142,4;1,30338
142,5;1,30798
142,6;1,31335
142,7;1,31849
142,8;1,32315
142,9;1,32813
143;1,3331
143,1;1,33797
143,2;1,34243
143,3;1,34698
143,4;1,35184
143,5;1,35685
143,6;1,3623
143,7;1,36684
143,8;1,37174
143,9;1,37697
144;1,3825
144,1;1,38751
144,2;1,3921
144,3;1,39703
144,4;1,40261
144,5;1,40744
144,6;1,4128
144,7;1,41879
144,8;1,42455
144,9;1,43063
145;1,43637
145,1;1,44252
145,2;1,44855
145,3;1,45456
145,4;1,46043
145,5;1,46611
145,6;1,47148
145,7;1,47731
145,8;1,48374
145,9;1,49042
146;1,49778
146,1;1,50475
146,2;1,51233
146,3;1,51953
146,4;1,52743
146,5;1,53554
146,6;1,54408
146,7;1,55254
146,8;1,56089
146,9;1,56898
147;1,57756
147,1;1,58541
147,2;1,59338
147,3;1,6007
147,4;1,60752
147,5;1,6139
147,6;1,61977
147,7;1,62592
147,8;1,63424
147,9;1,64341
148;1,65234
148,1;1,66059
148,2;1,66894
148,3;1,67634
148,4;1,68385
148,5;1,69106
148,6;1,69825
148,7;1,7056
148,8;1,71329
148,9;1,72126
149;1,72976
149,1;1,73809
149,2;1,74741
149,3;1,75753
149,4;1,76764
149,5;1,77757
149,6;1,78756
149,7;1,79831
149,8;1,80926
149,9;1,81908
150;1,82842
150,1;1,83716
150,2;1,84673
150,3;1,85719
